image_id,image_path,model,color,caption,make,type
l_1723858688.483,Audi/A4/l_1723858688.483.jpg,Audi A4,xanh biển,Đây là chiếc xe dòng Audi A4 màu xanh biển.,Audi,Sedan
l_1723858689.907,Audi/A4/l_1723858689.907.jpg,Audi A4,xanh biển,Đây là chiếc xe dòng Audi A4 màu xanh biển.,Audi,Sedan
l_1723858693.840,Audi/A4/l_1723858693.840.jpg,Audi A4,xanh biển,Đây là chiếc xe dòng Audi A4 màu xanh biển.,Audi,Sedan
l_1723858694.765,Audi/A4/l_1723858694.765.jpg,Audi A4,xanh biển,Đây là chiếc xe dòng Audi A4 màu xanh biển.,Audi,Sedan
l_1732078199.221,Audi/A4/l_1732078199.221.jpg,Audi A4,trắng,Đây là chiếc xe dòng Audi A4 màu trắng.,Audi,Sedan
l_1732495331.787,Audi/A4/l_1732495331.787.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1732495332.373,Audi/A4/l_1732495332.373.jpg,Audi A4,nâu,Đây là chiếc xe dòng Audi A4 màu nâu.,Audi,Sedan
l_1732495332.600,Audi/A4/l_1732495332.600.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1734430421.443,Audi/A4/l_1734430421.443.jpg,Audi A4,trắng,Đây là chiếc xe dòng Audi A4 màu trắng.,Audi,Sedan
l_1735129863.960,Audi/A4/l_1735129863.960.jpg,Audi A4,đỏ,Đây là chiếc xe dòng Audi A4 màu đỏ.,Audi,Sedan
l_1735129882.324,Audi/A4/l_1735129882.324.jpg,Audi A4,đỏ,Đây là chiếc xe dòng Audi A4 màu đỏ.,Audi,Sedan
l_1736751203.415,Audi/A4/l_1736751203.415.jpg,Audi A4,xanh lá,Đây là chiếc xe dòng Audi A4 màu xanh lá.,Audi,Sedan
l_1736751209.365,Audi/A4/l_1736751209.365.jpg,Audi A4,xanh lá,Đây là chiếc xe dòng Audi A4 màu xanh lá.,Audi,Sedan
l_1736751214.628,Audi/A4/l_1736751214.628.jpg,Audi A4,xanh lá,Đây là chiếc xe dòng Audi A4 màu xanh lá.,Audi,Sedan
l_1736751225.692,Audi/A4/l_1736751225.692.jpg,Audi A4,xanh lá,Đây là chiếc xe dòng Audi A4 màu xanh lá.,Audi,Sedan
l_1736751379.314,Audi/A4/l_1736751379.314.jpg,Audi A4,xanh lá,Đây là chiếc xe dòng Audi A4 màu xanh lá.,Audi,Sedan
l_1743825574.949,Audi/A4/l_1743825574.949.jpg,Audi A4,xám,Đây là chiếc xe dòng Audi A4 màu xám.,Audi,Sedan
l_1743825575.987,Audi/A4/l_1743825575.987.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1744815998.355,Audi/A4/l_1744815998.355.jpg,Audi A4,trắng,Đây là chiếc xe dòng Audi A4 màu trắng.,Audi,Sedan
l_1744815999.646,Audi/A4/l_1744815999.646.jpg,Audi A4,trắng,Đây là chiếc xe dòng Audi A4 màu trắng.,Audi,Sedan
l_1745912061.713,Audi/A4/l_1745912061.713.jpg,Audi A4,trắng,Đây là chiếc xe dòng Audi A4 màu trắng.,Audi,Sedan
l_1745912065.445,Audi/A4/l_1745912065.445.jpg,Audi A4,trắng,Đây là chiếc xe dòng Audi A4 màu trắng.,Audi,Sedan
l_1725596823_box_3,Audi/A4/l_1725596823_box_3.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1725596823_box_5,Audi/A4/l_1725596823_box_5.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1725596824_box_0,Audi/A4/l_1725596824_box_0.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1725596827_box_0,Audi/A4/l_1725596827_box_0.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1725596827_box_4,Audi/A4/l_1725596827_box_4.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1725597479_box_1,Audi/A4/l_1725597479_box_1.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1725597480_box_0,Audi/A4/l_1725597480_box_0.jpg,Audi A4,xám,Đây là chiếc xe dòng Audi A4 màu xám.,Audi,Sedan
l_1725597481_box_0,Audi/A4/l_1725597481_box_0.jpg,Audi A4,xám,Đây là chiếc xe dòng Audi A4 màu xám.,Audi,Sedan
l_1725597482_box_0,Audi/A4/l_1725597482_box_0.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1725597483_box_0,Audi/A4/l_1725597483_box_0.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1726629588_box_0,Audi/A4/l_1726629588_box_0.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1726721297_box_0,Audi/A4/l_1726721297_box_0.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1726721300_box_0,Audi/A4/l_1726721300_box_0.jpg,Audi A4,nâu,Đây là chiếc xe dòng Audi A4 màu nâu.,Audi,Sedan
l_1726721301_box_0,Audi/A4/l_1726721301_box_0.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1726721301_box_1,Audi/A4/l_1726721301_box_1.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
l_1726721302_box_0,Audi/A4/l_1726721302_box_0.jpg,Audi A4,đen,Đây là chiếc xe dòng Audi A4 màu đen.,Audi,Sedan
